position,week,season_type,lookup_string,player_id,player_name,team_abbr,team_conf,team_division,stat_type,stat_label,stat_values
Defense,7,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_sack,5
Defense,7,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_interception,2
Defense,7,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_points_allowed,7
Defense,8,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_sack,2
Defense,8,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_interception,2
Defense,8,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_points_allowed,24
Defense,8,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_sack,2
Defense,8,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_interception,4
Defense,8,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_points_allowed,-1
Defense,9,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_sack,4
Defense,9,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_fumble_recovery,1
Defense,9,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_interception,1
Defense,9,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_points_allowed,3
Defense,9,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_sack,4
Defense,9,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_fumble_recovery,2
Defense,9,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_interception,2
Defense,9,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_points_allowed,7
Defense,10,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_sack,4
Defense,10,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_fumble_recovery_punt,1
Defense,10,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_interception,1
Defense,10,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_td,1
Defense,10,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_points_allowed,33
